sdnn,rmssd,nn50,pnn50,lf_power,hf_power,lf_hf_ratio,HR
2083713.6994239213,1396658.978754206,298,99.66555183946488,137353551320.98436,150886719480.7475,0.9103090834876961,89
3254532.606179483,1958911.2027304275,297,99.33110367892976,23779389797.558876,404910468414.5288,0.05872752534818296,86
1284631.366077538,728917.5167459581,298,99.66555183946488,139761845358.06244,81614427985.85475,1.7124649257149198,87
783121.3037532689,452807.88944556133,298,99.66555183946488,59595218481.50376,19068960859.784943,3.1252473021320086,87
1772506.5379474983,1040984.907768753,298,99.66555183946488,14572476288.350092,23802550335.463116,0.6122233156939803,89
78274.13622643283,80394.46824414405,298,99.66555183946488,2878502062.5316234,20954348520.801086,0.13737015301020572,102
74481.37820202456,66647.42321837816,297,99.33110367892976,739087797.1654961,119850587.23253186,6.166743227811907,97
78153.17692379233,77322.15747037153,298,99.66555183946488,833849051.9697062,10882256.626940832,76.6246451039736,84
4694645.572652254,3262478.1166610224,298,99.66555183946488,44925897037.20553,54745891892.92523,0.8206259042244458,80
2202962.033962573,1494267.677903835,298,99.66555183946488,26361229826.107323,266070149442.93332,0.09907623941016831,80
4571343.484368837,2968263.6789052235,298,99.66555183946488,23357059973.661953,155308789418.33624,0.15039110188894658,78
3762294.009383242,2480984.5513133574,298,99.66555183946488,71009599582.2261,82910857033.99306,0.8564571893535307,80
4271555.702930941,3030237.956453953,298,99.66555183946488,42631883634.159775,197727927997.89597,0.21560881189537082,82
2153594.010020752,1497062.3703116076,298,99.66555183946488,28429298547.909206,13704253242.65985,2.0744872445447733,82
4516245.260307285,3064287.2851073593,298,99.66555183946488,68950429997.97429,240249717468.2411,0.2869948432180318,85
2387390.3549961564,1642327.0084066882,298,99.66555183946488,57233374610.12102,31423169868.483894,1.8213749551576484,83
2748066.3550358755,2346097.797430677,298,99.66555183946488,31103890289.41554,338344555643.3361,0.09192963140865053,86
2886237.684349575,2284669.3963759253,298,99.66555183946488,39421482025.69918,110223734075.42206,0.3576496691604052,82
